what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.core,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.context.core,1283087103093
started,bundle,org.eclipse.mylyn.context.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.context.ui,1283087103093
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.monitor.ui,1283087103093
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.tasks.ui,1283087103093
started,bundle,org.eclipse.mylyn.team.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.team.ui,1283087103093
started,bundle,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui,1283087103109
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20090115,org.eclipse.team.cvs.core,1283087103109
started,bundle,org.eclipse.team.cvs.ui,3.3.100.r34x_20090121,org.eclipse.team.cvs.ui,1283087103109
started,bundle,org.eclipse.ui.views.log,1.0.0.v20080803-1700,org.eclipse.ui.views.log,1283087103109
started,bundle,org.eclipse.wst.common.frameworks,1.1.201.v200811060900,org.eclipse.wst.common.frameworks,1283087103109
started,bundle,org.eclipse.wst.common.project.facet.core,1.3.4.v200810151458,org.eclipse.wst.common.project.facet.core,1283087103109
started,bundle,org.eclipse.wst.web,1.1.206.v200812100430,org.eclipse.wst.web,1283087103125
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.2.v200809031518,org.eclipse.wst.ws.service.policy.ui,1283087103125
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1283087106296
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1283087106296
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1283087106375
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1283087108171
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1283087109953
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1283087109953
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1283087110031
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1283087171015
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1283087171031
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1283087175421
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1283087176968
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1283087182656
