what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.core,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.context.core,1281252356953
started,bundle,org.eclipse.mylyn.context.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.context.ui,1281252356953
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.monitor.ui,1281252356953
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.tasks.ui,1281252356953
started,bundle,org.eclipse.mylyn.team.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.team.ui,1281252356953
started,bundle,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui,1281252356953
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20090115,org.eclipse.team.cvs.core,1281252356953
started,bundle,org.eclipse.team.cvs.ui,3.3.100.r34x_20090121,org.eclipse.team.cvs.ui,1281252356968
started,bundle,org.eclipse.ui.views.log,1.0.0.v20080803-1700,org.eclipse.ui.views.log,1281252356968
started,bundle,org.eclipse.wst.common.frameworks,1.1.201.v200811060900,org.eclipse.wst.common.frameworks,1281252356968
started,bundle,org.eclipse.wst.common.project.facet.core,1.3.4.v200810151458,org.eclipse.wst.common.project.facet.core,1281252356968
started,bundle,org.eclipse.wst.web,1.1.206.v200812100430,org.eclipse.wst.web,1281252356968
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.2.v200809031518,org.eclipse.wst.ws.service.policy.ui,1281252356968
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1281252401375
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1281252413453
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1281252417937
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1281252417937
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1281252418000
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1281253350328
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1281253352343
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1281253691000
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1281253691781
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1281253699281
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1281253701031
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1281253701046
